Date,Actual
2024-12-06,0.042
2024-11-01,0.040999999999999995
2024-10-04,0.040999999999999995
2024-09-06,0.042
2024-08-02,0.043
2024-07-05,0.040999999999999995
2024-06-07,0.04
2024-05-03,0.039
2024-04-05,0.038
2024-03-08,0.039
2024-02-02,0.037000000000000005
2024-01-05,0.037000000000000005
2023-12-08,0.037000000000000005
2023-11-03,0.039
2023-10-06,0.038
2023-09-01,0.038
2023-08-04,0.035
2023-07-07,0.036000000000000004
2023-06-02,0.037000000000000005
2023-05-05,0.034
2023-04-07,0.035
2023-03-10,0.036000000000000004
2023-02-03,0.034
2023-01-06,0.035
2022-12-02,0.037000000000000005
2022-11-04,0.037000000000000005
2022-10-07,0.035
2022-09-02,0.037000000000000005
2022-08-05,0.035
2022-07-08,0.036000000000000004
2022-06-03,0.036000000000000004
2022-05-06,0.036000000000000004
2022-04-01,0.036000000000000004
2022-03-04,0.038
2022-02-04,0.04
2022-01-07,0.039
2021-12-03,0.042
2021-11-05,0.046
2021-10-08,0.048
2021-09-03,0.052000000000000005
2021-08-06,0.054000000000000006
2021-07-02,0.059000000000000004
2021-06-04,0.057999999999999996
2021-05-07,0.061
2021-04-02,0.06
2021-03-05,0.062
2021-02-05,0.063
2021-01-08,0.067
2020-12-04,0.067
2020-11-06,0.069
2020-10-02,0.079
2020-09-04,0.084
2020-08-07,0.102
2020-07-02,0.111
2020-06-05,0.133
2020-05-08,0.147
2020-04-03,0.044000000000000004
2020-03-06,0.035
2020-02-07,0.036000000000000004
2020-01-10,0.035
