Year,Month,Day,DFF
2024,12,18,14:00
2024,11,7,14:00
2024,9,18,13:00
2024,7,31,13:00
2024,6,12,13:00
2024,5,1,13:00
2024,3,20,13:00
2024,1,31,14:00
2023,12,13,14:00
2023,11,1,13:00
2023,9,20,13:00
2023,7,26,13:00
2023,6,14,13:00
2023,5,3,13:00
2023,3,22,13:00
2023,2,1,14:00
2022,12,14,14:00
2022,11,2,13:00
2022,9,21,13:00
2022,7,27,13:00
2022,6,15,13:00
2022,5,4,13:00
2022,3,16,13:00
2022,1,26,14:00
2021,12,15,14:00
2021,11,3,13:00
2021,9,22,13:00
2021,7,28,13:00
2021,6,16,13:00
2021,4,28,13:00
2021,3,17,13:00
2021,1,27,14:00
2020,12,16,14:00
2020,11,5,14:00
2020,9,16,13:00
2020,7,29,13:00
2020,6,10,13:00
2020,4,29,13:00
2020,3,15,16:00
2020,3,3,10:00
2020,1,29,14:00
2019,12,11,14:00
2019,10,30,13:00
2019,9,18,13:00
2019,7,31,13:00
2019,6,19,13:00
2019,5,1,13:00
2019,3,20,13:00
2019,1,30,14:00
2018,12,19,14:00
2018,11,8,14:00
2018,9,26,13:00
2018,8,1,13:00
2018,6,13,13:00
2018,5,2,13:00
2018,3,21,13:00
2018,1,31,14:00
2017,12,13,14:00
2017,11,1,13:00
2017,9,20,13:00
2017,7,26,13:00
2017,6,14,13:00
2017,5,3,13:00
2017,3,15,13:00
2017,2,1,14:00
2016,12,14,14:00
2016,11,2,13:00
2016,9,21,13:00
2016,7,27,13:00
2016,6,15,13:00
2016,4,27,13:00
2016,3,16,13:00
2016,1,27,14:00
2015,12,16,14:00
2015,10,28,13:00
2015,9,17,13:00
2015,7,29,13:00
2015,6,17,13:00
2015,4,29,13:00
2015,3,18,13:00
2015,1,28,14:00
2014,12,17,14:00
2014,10,29,13:00
2014,9,17,13:00
2014,7,30,13:00
2014,6,18,13:00
2014,4,30,13:00
2014,3,19,13:00
2014,1,29,14:00
2013,12,18,14:00
2013,10,30,13:00
2013,9,18,13:00
2013,7,31,13:00
2013,6,19,13:00
2013,5,1,13:00
2013,3,20,13:00
2013,1,30,14:15
2012,12,12,12:30
2012,10,24,13:15
2012,9,13,11:30
2012,8,1,13:15
2012,6,20,11:30
2012,4,25,11:30
2012,3,13,13:15
2012,1,25,12:30
2011,12,13,14:15
2011,11,2,11:30
2011,9,21,13:15
2011,8,9,13:15
2011,6,22,11:30
2011,4,27,11:30
2011,3,15,13:15
2011,1,26,14:15
2010,12,14,14:15
2010,11,3,13:15
2010,9,21,13:15
2010,8,10,13:15
2010,6,23,13:15
2010,4,28,13:15
2010,3,16,13:15
2010,1,27,14:15
2009,12,16,14:15
2009,11,4,14:15
2009,9,23,13:15
2009,8,12,13:15
2009,6,24,13:15
2009,4,29,13:15
2009,3,18,13:15
2009,1,28,14:15
2008,12,16,14:15
2008,10,29,13:15
2008,10,8,06:00
2008,9,16,13:15
2008,8,5,13:15
2008,6,25,13:15
2008,4,30,13:15
2008,3,18,13:15
2008,1,30,13:15
2008,1,22,13:15
2007,12,11,13:00
2007,10,31,13:00
2007,9,18,13:00
2006,6,29,13:00
2006,5,10,13:00
2006,3,28,13:00
2006,1,31,13:00
2005,12,13,13:00
2005,11,1,13:00
2005,9,20,13:00
2005,8,9,13:00
2005,6,30,13:00
2005,5,3,13:00
2005,3,22,13:00
2005,2,2,13:00
2004,12,14,13:00
2004,11,10,13:00
2004,9,21,13:00
2004,8,10,13:00
2004,6,30,13:00
2003,6,25,13:00
2002,11,6,13:00
2001,12,11,13:00
2001,11,6,13:00
2001,10,2,13:00
2001,9,17,13:00
2001,8,21,13:00
2001,6,27,13:00
2001,5,15,13:00
2001,4,18,13:00
2001,3,20,13:00
2001,1,31,13:00
2001,1,3,13:00
2000,5,16,13:00
2000,3,21,13:00
2000,2,2,13:00
1999,11,16,13:00
1999,8,24,13:00
1999,6,30,13:00
1998,11,17,13:00
1998,10,15,13:00
1998,9,29,13:00
1997,3,25,13:00
1996,1,31,13:00
1995,12,19,13:00
1995,7,6,13:00
1995,2,1,13:00
1994,11,15,13:00
1994,8,16,13:00
1994,5,17,13:00
1994,4,18,13:00
1994,3,22,13:00
1994,2,4,13:00
1992,9,4,13:00
1992,7,2,13:00
1992,4,9,13:00
1991,12,20,13:00
1991,12,6,13:00
1991,11,6,13:00
1991,10,31,13:00
1991,9,13,13:00
1991,8,6,13:00
1991,4,30,13:00
1991,3,8,13:00
1991,2,1,13:00
1991,1,9,13:00
1990,12,19,13:00
1990,12,7,13:00
1990,11,14,13:00
1990,10,29,13:00
1990,7,13,13:00
1989,12,20,13:00
1989,11,6,13:00
1989,10,19,13:00
1989,7,27,13:00
1989,7,7,13:00
1989,6,6,13:00
1989,5,17,13:00
1989,2,24,13:00
1989,2,14,13:00
1989,2,9,13:00
1989,1,5,13:00
1988,12,15,13:00
1988,11,22,13:00
1988,11,17,13:00
1988,8,9,13:00
1988,8,8,13:00
1988,7,19,13:00
1988,7,1,13:00
1988,6,22,13:00
1988,5,25,13:00
1988,5,9,13:00
1988,3,30,13:00
1988,2,11,13:00
1988,1,28,13:00
1987,11,4,13:00
1987,9,24,13:00
1987,9,4,13:00
1987,9,3,13:00
1987,8,27,13:00
1987,7,2,13:00
1987,5,22,13:00
1987,4,30,13:00
1987,1,5,13:00
1986,8,21,13:00
1986,7,11,13:00
1986,6,5,13:00
1986,5,22,13:00
1986,4,21,13:00
1986,4,2,13:00
1986,3,7,13:00
1985,12,18,13:00
1985,9,6,13:00
1985,8,21,13:00
1985,7,25,13:00
1985,7,11,13:00
1985,5,20,13:00
1985,4,25,13:00
1985,3,28,13:00
1985,2,14,13:00
1985,1,24,13:00
1984,12,24,13:00
1984,12,19,13:00
1984,12,6,13:00
1984,11,23,13:00
1984,11,8,13:00
1984,10,18,13:00
1984,10,11,13:00
1984,9,27,13:00
1984,9,20,13:00
1984,8,9,13:00
1984,7,19,13:00
1984,7,5,13:00
1984,3,29,13:00
1983,9,15,13:00
1983,8,17,13:00
1983,8,11,13:00
1983,7,20,13:00
1983,7,14,13:00
1983,6,24,13:00
1983,5,25,13:00
1983,3,31,13:00
1982,12,14,13:00
1982,11,19,13:00
1982,10,7,13:00
1982,10,1,13:00
1982,9,27,13:00
